file,line,macro,path
src/server/routes/analysis.jl,35,POST,/api/v1/studies/{study}/runs/{run}/analysis/alpha
src/server/routes/analysis.jl,225,POST,/api/v1/studies/{study}/runs/{run}/analysis/chart
src/server/routes/analysis.jl,291,GET,/api/v1/studies/{study}/runs/{run}/analysis/pipeline-stats
src/server/routes/analysis.jl,313,GET,/api/v1/studies/{study}/runs/{run}/analysis/ranks
src/server/routes/analysis.jl,685,POST,/api/v1/studies/{study}/analysis/alpha
src/server/routes/analysis.jl,762,GET,/api/v1/capabilities
src/server/routes/analysis.jl,767,POST,/api/v1/studies/{study}/analysis/nmds
src/server/routes/analysis.jl,824,POST,/api/v1/studies/{study}/analysis/permanova
src/server/routes/analysis.jl,866,POST,/api/v1/studies/{study}/analysis/chart
src/server/routes/analysis.jl,1015,POST,/api/v1/studies/{study}/analysis/venn
src/server/routes/annotations.jl,423,GET,/api/v1/studies/{study}/runs/{run}/annotations/{source}
src/server/routes/annotations.jl,435,POST,/api/v1/studies/{study}/runs/{run}/annotations/{source}/generate
src/server/routes/annotations.jl,458,POST,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/query
src/server/routes/annotations.jl,473,POST,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/distinct/{column}
src/server/routes/annotations.jl,489,POST,/api/v1/funcdb/entries
src/server/routes/annotations.jl,513,PATCH,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/contamination
src/server/routes/annotations.jl,588,PATCH,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/blast-assignment
src/server/routes/annotations.jl,636,GET,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/contamination/stats
src/server/routes/annotations.jl,655,GET,/api/v1/studies/{study}/runs/{run}/annotations/{source}/{table}/export
src/server/routes/composition.jl,194,GET,/api/v1/composition
src/server/routes/composition.jl,201,POST,/api/v1/composition/filters/{name}
src/server/routes/composition.jl,210,DELETE,/api/v1/composition/filters/{name}
src/server/routes/composition.jl,219,POST,/api/v1/composition/sets/{name}
src/server/routes/composition.jl,228,DELETE,/api/v1/composition/sets/{name}
src/server/routes/composition.jl,235,GET,/api/v1/category-sets
src/server/routes/composition.jl,325,POST,/api/v1/category-sets/{name}
src/server/routes/composition.jl,343,DELETE,/api/v1/category-sets/{name}
src/server/routes/composition.jl,351,POST,/api/v1/studies/{study}/runs/{run}/composition/summary
src/server/routes/composition.jl,376,POST,/api/v1/studies/{study}/runs/{run}/composition/{source}/query
src/server/routes/composition.jl,400,POST,/api/v1/studies/{study}/runs/{run}/composition/{source}/distinct/{column}
src/server/routes/config.jl,103,GET,/api/v1/studies/{study}/chart-cosmetics
src/server/routes/config.jl,109,PATCH,/api/v1/studies/{study}/chart-cosmetics
src/server/routes/config.jl,191,GET,/api/v1/config
src/server/routes/config.jl,196,PATCH,/api/v1/config
src/server/routes/config.jl,210,DELETE,/api/v1/config/{key}
src/server/routes/config.jl,218,GET,/api/v1/primers
src/server/routes/config.jl,456,GET,/api/v1/primers/document
src/server/routes/config.jl,470,PUT,/api/v1/primers
src/server/routes/config.jl,481,GET,/api/v1/studies/{study}/config
src/server/routes/config.jl,487,PATCH,/api/v1/studies/{study}/config
src/server/routes/config.jl,502,DELETE,/api/v1/studies/{study}/config/{key}
src/server/routes/config.jl,513,GET,/api/v1/studies/{study}/config/overrides
src/server/routes/config.jl,543,GET,/api/v1/studies/{study}/groups/{group}/config/overrides
src/server/routes/config.jl,559,GET,/api/v1/studies/{study}/groups/{group}/config
src/server/routes/config.jl,567,PATCH,/api/v1/studies/{study}/groups/{group}/config
src/server/routes/config.jl,584,DELETE,/api/v1/studies/{study}/groups/{group}/config/{key}
src/server/routes/config.jl,606,GET,/api/v1/studies/{study}/runs/{run}/config
src/server/routes/config.jl,615,PATCH,/api/v1/studies/{study}/runs/{run}/config
src/server/routes/config.jl,634,DELETE,/api/v1/studies/{study}/runs/{run}/config/{key}
src/server/routes/databases.jl,131,GET,/api/v1/databases/document
src/server/routes/databases.jl,143,PUT,/api/v1/databases
src/server/routes/databases.jl,192,GET,/api/v1/databases
src/server/routes/databases.jl,196,POST,/api/v1/databases/{key}/download
src/server/routes/events.jl,10,STREAM,/api/v1/events
src/server/routes/jobs.jl,16,GET,/api/v1/jobs
src/server/routes/jobs.jl,23,GET,/api/v1/jobs/{id}
src/server/routes/jobs.jl,29,GET,/api/v1/jobs/{id}/logs
src/server/routes/jobs.jl,37,DELETE,/api/v1/jobs/{id}
src/server/routes/pipeline.jl,499,POST,/api/v1/studies/{study}/pipeline
src/server/routes/pipeline.jl,538,POST,/api/v1/studies/{study}/runs/{run}/pipeline
src/server/routes/pipeline.jl,557,POST,/api/v1/studies/{study}/runs/{run}/stages/{stage}
