file,lines,imports (heuristic),api calls (heuristic)
frontend/src/App.tsx,37,react-router-dom; ./components/Toast; ./layout/Layout; ./views/StudiesView; ./views/StudyView; ./views/RunView; ./views/SlugResolver; ./views/JobsView; ./views/DatabasesView; ./views/NotFoundView; ./views/DefaultConfigView; ./views/CompositionsView; ./views/PrimersView,
frontend/src/api/client.ts,322,./types,
frontend/src/api/errorMessage.ts,6,,
frontend/src/api/events.ts,32,./types; ./client,
frontend/src/api/figureColours.ts,61,,
frontend/src/api/types.ts,403,,
frontend/src/components/AnalysisControls.tsx,37,./PlotlyChart; ./alphaMetrics; ../hooks/useAnalysis,
frontend/src/components/AnnotationPanel.tsx,497,react; react; ../api/client; ../api/errorMessage; ../hooks/useAnalysis; ./DataTable; ./AnalysisControls; ./Toast; ./AnnotationPanelControls; ./annotationShared; ../api/types,annotations.contaminationStats; annotations.distinct; annotations.exportCsv; annotations.generate; annotations.list; annotations.query; annotations.updateBlastAssignment; annotations.updateContamination; config.getDefault; config.getRun
frontend/src/components/AnnotationPanelControls.tsx,152,react; ../api/client; ../api/errorMessage; ./Toast; ../api/types; ./annotationShared,annotations.addFuncdbEntry
frontend/src/components/Breadcrumb.tsx,51,react-router-dom,
frontend/src/components/CardActions.tsx,65,react-router-dom; ../api/types,
frontend/src/components/CategorySetEditor.tsx,217,react; react; ./EditorCard; ../api/types,
frontend/src/components/ChartCustomiser.tsx,92,react; ../api/client; ../api/figureColours; ./PlotlyChart; ../api/types,chartCosmetics.get; chartCosmetics.patch
frontend/src/components/ChartEditorInner.tsx,29,plotly.js-dist-min; react-chart-editor,
frontend/src/components/ComparisonPanel.tsx,186,react; ../api/client; ./ChartCustomiser; ./alphaMetrics; ./Toast; ./VennPanel; ./TaxaCompositionChart; ./annotationShared; ../api/errorMessage; ../api/types,analysis.capabilities; analysis.compareAlpha; analysis.nmds; analysis.permanova
frontend/src/components/CompositionPanel.tsx,339,react; ../api/client; ../api/errorMessage; ./DataTable; ./NameDialog; ./TaxaCompositionChart; ./Toast; ../api/types,composition.categorySets; composition.deleteCategorySet; composition.distinct; composition.query; composition.saveCategorySet; composition.summary
frontend/src/components/ConfigAccordion.tsx,62,react; ./PipelineStages; ../api/types,
frontend/src/components/DataTable.tsx,825,react; ../hooks/useApi; ../api/types; ./DataTable.module.css,
frontend/src/components/DatabaseEditor.tsx,617,react; react; ./EditorCard; ../api/types,
frontend/src/components/EditorCard.tsx,190,react; react,
frontend/src/components/ErrorBoundary.tsx,26,react,
